group,function,value,sample_time_nanos,iteration_count
lex,lex_small,,952357.0,3753
lex,lex_small,,1904435.0,7506
lex,lex_small,,2964171.0,11259
lex,lex_small,,4036636.0,15012
lex,lex_small,,5260753.0,18765
lex,lex_small,,6311321.0,22518
lex,lex_small,,7219695.0,26271
lex,lex_small,,8057576.0,30024
lex,lex_small,,9583079.0,33777
lex,lex_small,,9926564.0,37530
lex,lex_small,,10630289.0,41283
lex,lex_small,,12058266.0,45036
lex,lex_small,,12300593.0,48789
lex,lex_small,,13228733.0,52542
lex,lex_small,,14049263.0,56295
lex,lex_small,,15678078.0,60048
lex,lex_small,,16441078.0,63801
lex,lex_small,,18136497.0,67554
lex,lex_small,,18626475.0,71307
lex,lex_small,,19782893.0,75060
lex,lex_small,,20557030.0,78813
lex,lex_small,,21269998.0,82566
lex,lex_small,,23194132.0,86319
lex,lex_small,,23208001.0,90072
lex,lex_small,,24411597.0,93825
lex,lex_small,,25594499.0,97578
lex,lex_small,,27540511.0,101331
lex,lex_small,,27952619.0,105084
lex,lex_small,,28845633.0,108837
lex,lex_small,,28987418.0,112590
lex,lex_small,,29996720.0,116343
lex,lex_small,,30820004.0,120096
lex,lex_small,,35967617.0,123849
lex,lex_small,,33404791.0,127602
lex,lex_small,,32737126.0,131355
lex,lex_small,,34815216.0,135108
lex,lex_small,,35904063.0,138861
lex,lex_small,,35557583.0,142614
lex,lex_small,,38854489.0,146367
lex,lex_small,,38740297.0,150120
lex,lex_small,,41335619.0,153873
lex,lex_small,,41476523.0,157626
lex,lex_small,,42602050.0,161379
lex,lex_small,,44529360.0,165132
lex,lex_small,,44760974.0,168885
lex,lex_small,,49254334.0,172638
lex,lex_small,,46824612.0,176391
lex,lex_small,,45732310.0,180144
lex,lex_small,,47755274.0,183897
lex,lex_small,,47260860.0,187650
lex,lex_small,,51199075.0,191403
lex,lex_small,,50438366.0,195156
lex,lex_small,,52505301.0,198909
lex,lex_small,,55194989.0,202662
lex,lex_small,,53195768.0,206415
lex,lex_small,,56233892.0,210168
lex,lex_small,,54803147.0,213921
lex,lex_small,,57228901.0,217674
lex,lex_small,,55828679.0,221427
lex,lex_small,,59007990.0,225180
lex,lex_small,,60758479.0,228933
lex,lex_small,,60399430.0,232686
lex,lex_small,,62473076.0,236439
lex,lex_small,,66429856.0,240192
lex,lex_small,,66253765.0,243945
lex,lex_small,,65325386.0,247698
lex,lex_small,,64982804.0,251451
lex,lex_small,,65448711.0,255204
lex,lex_small,,67079706.0,258957
lex,lex_small,,68376624.0,262710
lex,lex_small,,70926318.0,266463
lex,lex_small,,73541646.0,270216
lex,lex_small,,72001973.0,273969
lex,lex_small,,71855412.0,277722
lex,lex_small,,74596043.0,281475
lex,lex_small,,72772143.0,285228
lex,lex_small,,73784463.0,288981
lex,lex_small,,77673090.0,292734
lex,lex_small,,78425984.0,296487
lex,lex_small,,76254692.0,300240
lex,lex_small,,81174052.0,303993
lex,lex_small,,81927431.0,307746
lex,lex_small,,81565179.0,311499
lex,lex_small,,82823917.0,315252
lex,lex_small,,86647675.0,319005
lex,lex_small,,87135678.0,322758
lex,lex_small,,84613324.0,326511
lex,lex_small,,85192906.0,330264
lex,lex_small,,87253421.0,334017
lex,lex_small,,87101538.0,337770
lex,lex_small,,91181263.0,341523
lex,lex_small,,89540626.0,345276
lex,lex_small,,94392237.0,349029
lex,lex_small,,94665325.0,352782
lex,lex_small,,93053386.0,356535
lex,lex_small,,94891756.0,360288
lex,lex_small,,99467877.0,364041
lex,lex_small,,98236108.0,367794
lex,lex_small,,98863474.0,371547
lex,lex_small,,100911565.0,375300
