group,function,value,sample_time_nanos,iteration_count
lex,lex_small1_pretty,,936227.0,7221
lex,lex_small1_pretty,,2123990.0,14442
lex,lex_small1_pretty,,3047866.0,21663
lex,lex_small1_pretty,,4302954.0,28884
lex,lex_small1_pretty,,5383522.0,36105
lex,lex_small1_pretty,,6058514.0,43326
lex,lex_small1_pretty,,6891412.0,50547
lex,lex_small1_pretty,,7965672.0,57768
lex,lex_small1_pretty,,8558191.0,64989
lex,lex_small1_pretty,,9928601.0,72210
lex,lex_small1_pretty,,11365964.0,79431
lex,lex_small1_pretty,,11684430.0,86652
lex,lex_small1_pretty,,12508334.0,93873
lex,lex_small1_pretty,,13839412.0,101094
lex,lex_small1_pretty,,15019602.0,108315
lex,lex_small1_pretty,,15181439.0,115536
lex,lex_small1_pretty,,15748666.0,122757
lex,lex_small1_pretty,,17346687.0,129978
lex,lex_small1_pretty,,18101562.0,137199
lex,lex_small1_pretty,,19440176.0,144420
lex,lex_small1_pretty,,20263781.0,151641
lex,lex_small1_pretty,,21847398.0,158862
lex,lex_small1_pretty,,22311122.0,166083
lex,lex_small1_pretty,,23048223.0,173304
lex,lex_small1_pretty,,24517543.0,180525
lex,lex_small1_pretty,,25397738.0,187746
lex,lex_small1_pretty,,26308497.0,194967
lex,lex_small1_pretty,,26741943.0,202188
lex,lex_small1_pretty,,28445028.0,209409
lex,lex_small1_pretty,,28461354.0,216630
lex,lex_small1_pretty,,29802321.0,223851
lex,lex_small1_pretty,,31054888.0,231072
lex,lex_small1_pretty,,32270894.0,238293
lex,lex_small1_pretty,,32208117.0,245514
lex,lex_small1_pretty,,33503597.0,252735
lex,lex_small1_pretty,,35428008.0,259956
lex,lex_small1_pretty,,35512222.0,267177
lex,lex_small1_pretty,,37207512.0,274398
lex,lex_small1_pretty,,39411418.0,281619
lex,lex_small1_pretty,,39079485.0,288840
lex,lex_small1_pretty,,39181718.0,296061
lex,lex_small1_pretty,,41650060.0,303282
lex,lex_small1_pretty,,42892996.0,310503
lex,lex_small1_pretty,,41660203.0,317724
lex,lex_small1_pretty,,42842668.0,324945
lex,lex_small1_pretty,,46539210.0,332166
lex,lex_small1_pretty,,45988682.0,339387
lex,lex_small1_pretty,,45817045.0,346608
lex,lex_small1_pretty,,49106901.0,353829
lex,lex_small1_pretty,,47125550.0,361050
lex,lex_small1_pretty,,49017369.0,368271
lex,lex_small1_pretty,,50098722.0,375492
lex,lex_small1_pretty,,50876248.0,382713
lex,lex_small1_pretty,,51283257.0,389934
lex,lex_small1_pretty,,51899510.0,397155
lex,lex_small1_pretty,,56814311.0,404376
lex,lex_small1_pretty,,57897921.0,411597
lex,lex_small1_pretty,,60551309.0,418818
lex,lex_small1_pretty,,56729337.0,426039
lex,lex_small1_pretty,,56027823.0,433260
lex,lex_small1_pretty,,59736791.0,440481
lex,lex_small1_pretty,,59771066.0,447702
lex,lex_small1_pretty,,60908888.0,454923
lex,lex_small1_pretty,,60552131.0,462144
lex,lex_small1_pretty,,63824357.0,469365
lex,lex_small1_pretty,,64820859.0,476586
lex,lex_small1_pretty,,63920370.0,483807
lex,lex_small1_pretty,,64188814.0,491028
lex,lex_small1_pretty,,67348011.0,498249
lex,lex_small1_pretty,,66996150.0,505470
lex,lex_small1_pretty,,67431725.0,512691
lex,lex_small1_pretty,,69556676.0,519912
lex,lex_small1_pretty,,73615179.0,527133
lex,lex_small1_pretty,,74687539.0,534354
lex,lex_small1_pretty,,75839517.0,541575
lex,lex_small1_pretty,,76016853.0,548796
lex,lex_small1_pretty,,76934997.0,556017
lex,lex_small1_pretty,,75697868.0,563238
lex,lex_small1_pretty,,77208972.0,570459
lex,lex_small1_pretty,,79034768.0,577680
lex,lex_small1_pretty,,76966031.0,584901
lex,lex_small1_pretty,,79613629.0,592122
lex,lex_small1_pretty,,81454492.0,599343
lex,lex_small1_pretty,,81528590.0,606564
lex,lex_small1_pretty,,80967666.0,613785
lex,lex_small1_pretty,,84520128.0,621006
lex,lex_small1_pretty,,85581082.0,628227
lex,lex_small1_pretty,,86112232.0,635448
lex,lex_small1_pretty,,86661408.0,642669
lex,lex_small1_pretty,,87320157.0,649890
lex,lex_small1_pretty,,90397415.0,657111
lex,lex_small1_pretty,,94795033.0,664332
lex,lex_small1_pretty,,91519276.0,671553
lex,lex_small1_pretty,,93032632.0,678774
lex,lex_small1_pretty,,93116455.0,685995
lex,lex_small1_pretty,,94738355.0,693216
lex,lex_small1_pretty,,97965539.0,700437
lex,lex_small1_pretty,,95631949.0,707658
lex,lex_small1_pretty,,95534257.0,714879
lex,lex_small1_pretty,,96349922.0,722100
