group,function,value,sample_time_nanos,iteration_count
lex,lex_small3_pretty,,955470.0,2852
lex,lex_small3_pretty,,1849076.0,5704
lex,lex_small3_pretty,,2772320.0,8556
lex,lex_small3_pretty,,3704423.0,11408
lex,lex_small3_pretty,,4384554.0,14260
lex,lex_small3_pretty,,5939329.0,17112
lex,lex_small3_pretty,,7881085.0,19964
lex,lex_small3_pretty,,7914280.0,22816
lex,lex_small3_pretty,,9524189.0,25668
lex,lex_small3_pretty,,9791333.0,28520
lex,lex_small3_pretty,,11112757.0,31372
lex,lex_small3_pretty,,12635125.0,34224
lex,lex_small3_pretty,,14281157.0,37076
lex,lex_small3_pretty,,13792498.0,39928
lex,lex_small3_pretty,,14993779.0,42780
lex,lex_small3_pretty,,17902474.0,45632
lex,lex_small3_pretty,,15799442.0,48484
lex,lex_small3_pretty,,18661193.0,51336
lex,lex_small3_pretty,,22444227.0,54188
lex,lex_small3_pretty,,18556681.0,57040
lex,lex_small3_pretty,,19114844.0,59892
lex,lex_small3_pretty,,20568332.0,62744
lex,lex_small3_pretty,,21558381.0,65596
lex,lex_small3_pretty,,22399977.0,68448
lex,lex_small3_pretty,,23292267.0,71300
lex,lex_small3_pretty,,23795045.0,74152
lex,lex_small3_pretty,,26172483.0,77004
lex,lex_small3_pretty,,26635627.0,79856
lex,lex_small3_pretty,,28497539.0,82708
lex,lex_small3_pretty,,28463933.0,85560
lex,lex_small3_pretty,,29521454.0,88412
lex,lex_small3_pretty,,29772033.0,91264
lex,lex_small3_pretty,,32917745.0,94116
lex,lex_small3_pretty,,33284250.0,96968
lex,lex_small3_pretty,,34629581.0,99820
lex,lex_small3_pretty,,34679699.0,102672
lex,lex_small3_pretty,,35938070.0,105524
lex,lex_small3_pretty,,35951468.0,108376
lex,lex_small3_pretty,,38151801.0,111228
lex,lex_small3_pretty,,38537159.0,114080
lex,lex_small3_pretty,,40300217.0,116932
lex,lex_small3_pretty,,38851593.0,119784
lex,lex_small3_pretty,,39745304.0,122636
lex,lex_small3_pretty,,39992825.0,125488
lex,lex_small3_pretty,,41606911.0,128340
lex,lex_small3_pretty,,41865084.0,131192
lex,lex_small3_pretty,,45126548.0,134044
lex,lex_small3_pretty,,54229975.0,136896
lex,lex_small3_pretty,,58300370.0,139748
lex,lex_small3_pretty,,50379118.0,142600
lex,lex_small3_pretty,,48718954.0,145452
lex,lex_small3_pretty,,47394491.0,148304
lex,lex_small3_pretty,,52458086.0,151156
lex,lex_small3_pretty,,53962636.0,154008
lex,lex_small3_pretty,,51242710.0,156860
lex,lex_small3_pretty,,57675471.0,159712
lex,lex_small3_pretty,,53962198.0,162564
lex,lex_small3_pretty,,54210377.0,165416
lex,lex_small3_pretty,,54507587.0,168268
lex,lex_small3_pretty,,54637467.0,171120
lex,lex_small3_pretty,,56832557.0,173972
lex,lex_small3_pretty,,59689202.0,176824
lex,lex_small3_pretty,,68167626.0,179676
lex,lex_small3_pretty,,67777625.0,182528
lex,lex_small3_pretty,,67416421.0,185380
lex,lex_small3_pretty,,64664682.0,188232
lex,lex_small3_pretty,,63315471.0,191084
lex,lex_small3_pretty,,62375122.0,193936
lex,lex_small3_pretty,,62548332.0,196788
lex,lex_small3_pretty,,64237169.0,199640
lex,lex_small3_pretty,,67464069.0,202492
lex,lex_small3_pretty,,70102832.0,205344
lex,lex_small3_pretty,,70896296.0,208196
lex,lex_small3_pretty,,67800664.0,211048
lex,lex_small3_pretty,,69216812.0,213900
lex,lex_small3_pretty,,71771522.0,216752
lex,lex_small3_pretty,,71648515.0,219604
lex,lex_small3_pretty,,70813876.0,222456
lex,lex_small3_pretty,,73340319.0,225308
lex,lex_small3_pretty,,77201251.0,228160
lex,lex_small3_pretty,,74886678.0,231012
lex,lex_small3_pretty,,80580189.0,233864
lex,lex_small3_pretty,,76569078.0,236716
lex,lex_small3_pretty,,78984589.0,239568
lex,lex_small3_pretty,,81914002.0,242420
lex,lex_small3_pretty,,80494700.0,245272
lex,lex_small3_pretty,,83290442.0,248124
lex,lex_small3_pretty,,80916447.0,250976
lex,lex_small3_pretty,,84425083.0,253828
lex,lex_small3_pretty,,86586132.0,256680
lex,lex_small3_pretty,,85429830.0,259532
lex,lex_small3_pretty,,85298000.0,262384
lex,lex_small3_pretty,,90060742.0,265236
lex,lex_small3_pretty,,89559715.0,268088
lex,lex_small3_pretty,,87971682.0,270940
lex,lex_small3_pretty,,88104036.0,273792
lex,lex_small3_pretty,,95033927.0,276644
lex,lex_small3_pretty,,95168943.0,279496
lex,lex_small3_pretty,,91551534.0,282348
lex,lex_small3_pretty,,92887066.0,285200
